name,department,designation,experience,research_areas,expertise,skills,publications,projects,profile_url
Dr. Rohan Gupta,Computer Science and Engineering,Assistant Professor,4,"Recommender Systems, Machine Learning, Data Mining","Collaborative Filtering, Recommendation Algorithms","Python, Scikit-learn, Pandas, SQL",Personalized Recommendation Using Machine Learning,Intelligent Academic Recommendation System,https://example.com/researcher
Dr. Kavita Nair,Information Technology,Associate Professor,10,"Big Data, Data Analytics, Data Engineering","Data Pipelines, Distributed Data Processing, Analytics","Python, Spark, Hadoop, SQL",Scalable Big Data Analytics,University Data Analytics Platform,https://example.com/researcher
Dr. Aditya Rao,Computer Science and Engineering,Professor,13,"Natural Language Processing, Information Retrieval, Search","Semantic Search, Text Retrieval, Question Answering","Python, Transformers, Elasticsearch, NLP",Semantic Search Using Transformer Models,Intelligent University Search Engine,https://example.com/researcher
Dr. Pooja Kapoor,Computer Science and Engineering,Assistant Professor,5,"Human Computer Interaction, AI, User Experience","UX Research, Intelligent Interfaces, Usability","Python, Figma, JavaScript, React",Human-Centered AI Interfaces,Adaptive Student Learning Interface,https://example.com/researcher
Dr. Sameer Bhatia,Electronics and Communication Engineering,Associate Professor,9,"Robotics, Autonomous Systems, Computer Vision","Robot Navigation, Sensor Fusion, Autonomous Control","C++, Python, ROS, OpenCV",Vision-Based Autonomous Navigation,Autonomous Campus Robot,https://example.com/researcher
Dr. Nisha Patel,Information Technology,Assistant Professor,6,"Database Systems, Data Management, Big Data","Database Optimization, Distributed Databases","SQL, PostgreSQL, Python, MongoDB",Efficient Query Processing in Distributed Databases,Scalable Academic Data Management,https://example.com/researcher
Dr. Saurabh Jain,Computer Science and Engineering,Professor,17,"Cloud Security, Cybersecurity, Privacy","Cloud Threat Detection, Privacy Preserving Computing","Python, Linux, Docker, Kubernetes",Security and Privacy in Cloud Computing,Secure Cloud Infrastructure,https://example.com/researcher
Dr. Divya Menon,Computer Science and Engineering,Associate Professor,8,"Federated Learning, Privacy-Preserving AI, Machine Learning","Federated Optimization, Secure Machine Learning","Python, PyTorch, TensorFlow, Cryptography",Privacy-Preserving Federated Learning,Federated Healthcare AI,https://example.com/researcher
Dr. Manish Agarwal,Electronics and Communication Engineering,Professor,18,"Embedded Systems, VLSI, IoT","Embedded Hardware, Digital Systems, Smart Sensors","C, C++, Verilog, Arduino",Low-Power Embedded Systems for IoT,Smart Sensor Network,https://example.com/researcher
Dr. Ritu Chawla,Computer Science and Engineering,Assistant Professor,5,"Educational Data Mining, Machine Learning, Learning Analytics","Student Modeling, Learning Analytics, Predictive Models","Python, Pandas, Scikit-learn, SQL",Machine Learning for Student Performance Analysis,Early Academic Risk Prediction,https://example.com/researcher
Dr. Harish Kumar,Mechanical Engineering,Professor,20,"Robotics, Automation, Industrial AI","Industrial Robotics, Predictive Maintenance","MATLAB, Python, PLC, C++",AI-Based Predictive Maintenance,Intelligent Manufacturing System,https://example.com/researcher
Dr. Simran Kaur,Computer Science and Engineering,Assistant Professor,4,"Generative AI, NLP, Large Language Models","Prompt Engineering, RAG, LLM Applications","Python, Transformers, LangChain, PyTorch",Retrieval-Augmented Generation for Academic Search,AI Research Assistant,https://example.com/researcher
Dr. Deepak Verma,Computer Science and Engineering,Associate Professor,12,"Algorithms, Optimization, Artificial Intelligence","Combinatorial Optimization, Metaheuristics","C++, Python, MATLAB, OR-Tools",Optimization Techniques for Intelligent Systems,Resource Allocation Optimization,https://example.com/researcher
Dr. Shalini Bose,Biotechnology,Professor,14,"Bioinformatics, Computational Biology, Machine Learning","Genomic Data Analysis, Protein Prediction","Python, R, Biopython, Machine Learning",Machine Learning for Genomic Analysis,AI-Based Disease Biomarker Discovery,https://example.com/researcher
Dr. Abhishek Roy,Computer Science and Engineering,Assistant Professor,6,"Blockchain, Distributed Systems, Web3","Smart Contracts, Decentralized Applications","Solidity, JavaScript, Python, Ethereum",Blockchain-Based Decentralized Applications,Secure Academic Credential System,https://example.com/researcher
Dr. Tanvi Shah,Computer Science and Engineering,Associate Professor,9,"Speech Processing, NLP, Artificial Intelligence","Speech Recognition, Audio Classification","Python, PyTorch, Whisper, Librosa",Deep Learning for Speech Recognition,Multilingual Speech Assistant,https://example.com/researcher
Dr. Mohit Srivastava,Information Technology,Professor,15,"Information Security, Digital Forensics, Cybersecurity","Malware Analysis, Digital Evidence, Network Security","Python, Linux, Wireshark, Kali Linux",Machine Learning for Malware Detection,Intelligent Cyber Forensics Platform,https://example.com/researcher
Dr. Ananya Das,Computer Science and Engineering,Assistant Professor,5,"Time Series Forecasting, Machine Learning, AI","Forecasting, Anomaly Detection, Statistical Modeling","Python, Pandas, Scikit-learn, TensorFlow",Deep Learning for Time Series Forecasting,Intelligent Demand Forecasting,https://example.com/researcher
Dr. Vivek Sharma,Civil Engineering,Professor,19,"Smart Cities, IoT, Sustainable Infrastructure","Smart Infrastructure, Urban Analytics, Sensor Networks","Python, IoT, GIS, MATLAB",IoT-Based Smart City Infrastructure,Intelligent Smart Campus Infrastructure,https://example.com/researcher
Dr. Isha Thomas,Computer Science and Engineering,Associate Professor,10,"Reinforcement Learning, Robotics, Autonomous Systems","Deep Reinforcement Learning, Robot Control","Python, PyTorch, OpenAI Gym, ROS",Deep Reinforcement Learning for Autonomous Robots,Autonomous Navigation Using Reinforcement Learning,https://example.com/researcher
